slug,display,tier,bench,task,agent,n,accuracy,sem_ir,sur_ir,delta,in_A,in_B,source
llama31_8b,Llama-3.1-8B,strong,gsm8k,shallow_arith,cot,20,0.7,0.525,0.5,0.025000000000000022,1,0,old36
llama31_8b,Llama-3.1-8B,strong,gsm8k,shallow_arith,react,20,0.45,0.725,0.7666666666666667,-0.04166666666666674,1,0,old36
llama31_8b,Llama-3.1-8B,strong,math,deep_math,cot,20,0.6,0.5882352941176471,0.5999999999999999,-0.011764705882352788,0,1,old36
llama31_8b,Llama-3.1-8B,strong,math,deep_math,react,20,0.2,0.8235294117647058,0.8666666666666666,-0.04313725490196074,0,1,old36
llama32_1b,Llama-3.2-1B,weak,gsm8k,shallow_arith,cot,20,0.4,0.85,0.85,0.0,0,1,old36
llama32_1b,Llama-3.2-1B,weak,gsm8k,shallow_arith,react,20,0.15,0.925,0.9166666666666667,0.008333333333333304,0,1,old36
llama32_1b,Llama-3.2-1B,weak,math,deep_math,cot,20,0.45,0.7941176470588235,0.7833333333333334,0.010784313725490047,0,1,old36
llama32_1b,Llama-3.2-1B,weak,math,deep_math,react,20,0.1,0.8823529411764706,0.8833333333333332,-0.0009803921568626306,0,1,old36
llama32_3b,Llama-3.2-3B,mid,gsm8k,shallow_arith,cot,20,0.75,0.375,0.3333333333333333,0.041666666666666685,0,0,old36
llama32_3b,Llama-3.2-3B,mid,gsm8k,shallow_arith,react,20,0.1,0.9,0.6833333333333332,0.21666666666666679,0,0,old36
llama32_3b,Llama-3.2-3B,mid,math,deep_math,cot,20,0.5,0.5882352941176471,0.6666666666666666,-0.07843137254901955,0,1,old36
llama32_3b,Llama-3.2-3B,mid,math,deep_math,react,20,0.2,0.7647058823529411,0.6166666666666666,0.14803921568627454,0,1,old36
qwen25_3b,Qwen2.5-3B,mid,gsm8k,shallow_arith,cot,20,0.7,0.525,0.35,0.17500000000000004,0,0,old36
qwen25_3b,Qwen2.5-3B,mid,gsm8k,shallow_arith,react,20,0.3,0.775,0.8,-0.025000000000000022,0,0,old36
qwen25_3b,Qwen2.5-3B,mid,math,deep_math,cot,20,0.3,0.6764705882352942,0.7249999999999999,-0.04852941176470571,0,1,old36
qwen25_3b,Qwen2.5-3B,mid,math,deep_math,react,20,0.45,0.5882352941176471,0.7166666666666667,-0.1284313725490196,0,1,old36
qwen25_7b,Qwen2.5-7B,strong,gsm8k,shallow_arith,cot,20,0.9,0.6,0.24999999999999994,0.35000000000000003,1,0,old36
qwen25_7b,Qwen2.5-7B,strong,gsm8k,shallow_arith,react,20,0.35,0.725,0.6166666666666667,0.10833333333333328,1,0,old36
qwen25_7b,Qwen2.5-7B,strong,math,deep_math,cot,20,0.55,0.35294117647058826,0.36666666666666664,-0.013725490196078383,0,1,old36
qwen25_7b,Qwen2.5-7B,strong,math,deep_math,react,20,0.35,0.5,0.5166666666666666,-0.016666666666666607,0,1,old36
llama31_8b,Llama-3.1-8B,strong,hotpotqa,multi_hop,cot,30,0.7,0.4230769230769231,0.22222222222222224,0.20085470085470084,1,0,old36
llama31_8b,Llama-3.1-8B,strong,hotpotqa,multi_hop,react,30,0.6333333333333333,0.3269230769230769,0.3444444444444444,-0.01752136752136746,1,0,old36
llama32_1b,Llama-3.2-1B,weak,hotpotqa,multi_hop,cot,30,0.3333333333333333,0.6346153846153846,0.7,-0.06538461538461537,0,1,old36
llama32_1b,Llama-3.2-1B,weak,hotpotqa,multi_hop,react,30,0.4666666666666667,0.6153846153846154,0.6333333333333331,-0.017948717948717663,0,1,old36
llama32_3b,Llama-3.2-3B,mid,hotpotqa,multi_hop,cot,30,0.6666666666666666,0.3269230769230769,0.28888888888888886,0.038034188034188066,0,0,old36
llama32_3b,Llama-3.2-3B,mid,hotpotqa,multi_hop,react,30,0.5,0.4230769230769231,0.36666666666666675,0.05641025641025632,0,0,old36
mimo_v25_pro,MiMo-v2.5-pro,frontier,hotpotqa,multi_hop,cot,50,0.84,0.23809523809523808,0.11999999999999998,0.1180952380952381,1,0,old36
mimo_v25_pro,MiMo-v2.5-pro,frontier,hotpotqa,multi_hop,react,50,0.84,0.19047619047619047,0.08666666666666666,0.10380952380952381,1,0,old36
qwen25_3b,Qwen2.5-3B,mid,hotpotqa,multi_hop,cot,30,0.5666666666666667,0.4423076923076923,0.41111111111111115,0.03119658119658114,0,0,old36
qwen25_3b,Qwen2.5-3B,mid,hotpotqa,multi_hop,react,30,0.6,0.3269230769230769,0.26666666666666666,0.060256410256410264,0,0,old36
qwen25_7b,Qwen2.5-7B,strong,hotpotqa,multi_hop,cot,30,0.7666666666666667,0.6346153846153846,0.44444444444444453,0.19017094017094005,1,0,old36
qwen25_7b,Qwen2.5-7B,strong,hotpotqa,multi_hop,react,30,0.7,0.46153846153846156,0.2777777777777778,0.18376068376068377,1,0,old36
mimo_v25_pro,MiMo-v2.5-pro,frontier,gsm8k,shallow_arith,cot,50,0.96,0.23,0.08666666666666668,0.1433333333333333,1,0,old36
mimo_v25_pro,MiMo-v2.5-pro,frontier,gsm8k,shallow_arith,react,50,1.0,0.21,0.013333333333333332,0.19666666666666666,1,0,old36
mimo_v25_pro,MiMo-v2.5-pro,frontier,math,deep_math,cot,50,0.68,0.2391304347826087,0.2800000000000001,-0.04086956521739138,0,1,old36
mimo_v25_pro,MiMo-v2.5-pro,frontier,math,deep_math,react,20,0.6,0.23529411764705882,0.19166666666666665,0.04362745098039217,0,1,old36
qwen25_14b,Qwen-2.5-14B,strong,gsm8k,shallow_arith,cot,200,0.93,0.0925,0.11333333333333333,-0.02083333333333333,1,0,new14b
qwen25_14b,Qwen-2.5-14B,strong,gsm8k,shallow_arith,react,200,0.915,0.1075,0.10166666666666664,0.005833333333333357,1,0,new14b
